"","State","Psychotherapy","Electroconvulsive","Substance Abuse","Emergency","Alzheimer's or Dementia","Eating Disorder","PTSD","Ownership"
"44","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"45","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"46","AK","Yes","No","Yes","Yes","No","No","Yes","Public"
"47","AK","Yes","No","No","No","No","No","No","Public"
"48","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"49","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"50","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"51","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"52","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"53","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"54","AK","Yes","No","Yes","Yes","No","Yes","Yes","Private Non-Profit"
"55","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"56","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"57","AK","Yes","No","Yes","No","Yes","Yes","Yes","Public"
"58","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"59","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"60","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"61","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"62","AK","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"63","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"64","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"65","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"66","AK","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"67","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"68","AK","Yes","No","No","No","No","No","No","Private For-Profit"
"69","AK","Yes","No","Yes","No","No","Yes","Yes","Private For-Profit"
"70","AK","No","No","No","No","No","No","Yes","Private Non-Profit"
"71","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"72","AK","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"73","AK","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"74","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"75","AK","Yes","No","Yes","No","No","Yes","Yes","Public"
"76","AK","No","No","Yes","No","No","No","No","Public"
"77","AK","Yes","No","Yes","Yes","No","No","No","Public"
"78","AK","Yes","No","No","No","No","No","No","Public"
"79","AK","Yes","No","Yes","Yes","No","No","No","Public"
"80","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"81","AK","Yes","No","Yes","No","No","Yes","Yes","Public"
"82","AK","Yes","No","No","No","No","No","No","Private Non-Profit"
"83","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"84","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"85","AK","Yes","No","Yes","No","No","No","No","Public"
"86","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"87","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"88","AK","Yes","No","Yes","Yes","No","No","No","Public"
"89","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"90","AK","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"91","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"92","AK","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"93","AK","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"94","AL","Yes","No","No","Yes","No","No","No","Public"
"95","AL","Yes","Yes","No","No","Yes","No","No","Private Non-Profit"
"96","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"97","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"98","AL","Yes","No","Yes","Yes","No","Yes","No","Private Non-Profit"
"99","AL","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"100","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"101","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private For-Profit"
"102","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"103","AL","Yes","No","No","No","No","No","No","Public"
"104","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"105","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"106","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"107","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"108","AL","Yes","No","Yes","Yes","No","No","No","Public"
"109","AL","Yes","Yes","Yes","No","No","No","No","Private Non-Profit"
"110","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"111","AL","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"112","AL","Yes","No","No","Yes","No","No","No","Public"
"113","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"114","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"115","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"116","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"117","AL","No","No","No","No","Yes","No","No","Private Non-Profit"
"118","AL","Yes","No","Yes","No","No","No","No","Private For-Profit"
"119","AL","Yes","No","Yes","Yes","No","No","No","Public"
"120","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"121","AL","Yes","No","Yes","Yes","No","No","No","Public"
"122","AL","Yes","No","No","No","No","No","Yes","Private For-Profit"
"123","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"124","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"125","AL","Yes","No","No","No","Yes","No","No","Private Non-Profit"
"126","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"127","AL","Yes","No","Yes","Yes","No","No","No","Private For-Profit"
"128","AL","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"129","AL","Yes","No","Yes","No","No","No","No","Public"
"130","AL","Yes","Yes","No","No","No","No","No","Private Non-Profit"
"131","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"132","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"133","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"134","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"135","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"136","AL","Yes","No","No","No","Yes","No","No","Private For-Profit"
"137","AL","Yes","No","No","No","Yes","Yes","Yes","Private Non-Profit"
"138","AL","Yes","No","No","Yes","No","No","No","Public"
"139","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"140","AL","Yes","No","No","No","No","No","No","Private For-Profit"
"141","AL","Yes","No","No","Yes","Yes","No","No","Private For-Profit"
"142","AL","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"143","AL","Yes","No","No","Yes","No","No","No","Public"
"144","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"145","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"146","AL","Yes","No","Yes","Yes","No","No","No","Public"
"147","AL","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"148","AL","Yes","No","No","No","No","No","Yes","Public"
"149","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"150","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"151","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"152","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"153","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"154","AL","Yes","No","No","No","No","Yes","Yes","Private For-Profit"
"155","AL","Yes","No","Yes","Yes","Yes","No","Yes","Private Non-Profit"
"156","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"157","AL","Yes","No","Yes","Yes","No","Yes","Yes","Public"
"158","AL","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"159","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"160","AL","No","No","No","No","No","No","No","Private Non-Profit"
"161","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"162","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"163","AL","Yes","No","No","No","Yes","No","No","Private Non-Profit"
"164","AL","Yes","No","Yes","Yes","No","No","No","Public"
"165","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"166","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"167","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"168","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"169","AL","No","No","No","No","No","No","No","Private Non-Profit"
"170","AL","Yes","Yes","No","Yes","Yes","Yes","Yes","Private For-Profit"
"171","AL","No","No","No","No","No","No","Yes","Private Non-Profit"
"172","AL","Yes","No","No","No","No","No","No","Private For-Profit"
"173","AL","No","No","No","Yes","No","No","No","Private For-Profit"
"174","AL","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"175","AL","Yes","No","No","No","No","No","No","Public"
"176","AL","Yes","No","No","No","No","No","No","Public"
"177","AL","Yes","No","No","No","No","No","No","Public"
"178","AL","No","No","No","No","No","No","No","Private Non-Profit"
"179","AL","Yes","No","No","No","No","No","No","Public"
"180","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"181","AL","Yes","No","Yes","No","Yes","No","No","Public"
"182","AL","Yes","No","Yes","No","No","No","No","Public"
"183","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"184","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"185","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"186","AL","Yes","No","Yes","Yes","No","No","No","Public"
"187","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"188","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"189","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"190","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"191","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"192","AL","Yes","No","No","Yes","No","No","No","Public"
"193","AL","Yes","No","No","No","No","No","No","Public"
"194","AL","Yes","No","No","Yes","No","No","No","Public"
"195","AL","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"196","AL","Yes","No","No","Yes","No","No","No","Public"
"197","AL","Yes","No","No","No","No","No","No","Public"
"198","AL","Yes","No","No","No","No","No","No","Public"
"199","AL","No","No","No","No","No","No","Yes","Private Non-Profit"
"200","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"201","AL","Yes","No","No","Yes","No","No","No","Public"
"202","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"203","AL","Yes","No","Yes","Yes","No","No","No","Public"
"204","AL","Yes","No","No","No","No","No","No","Private For-Profit"
"205","AL","Yes","Yes","No","No","No","No","No","Private Non-Profit"
"206","AL","Yes","No","Yes","Yes","Yes","No","No","Private Non-Profit"
"207","AL","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"208","AL","Yes","No","Yes","Yes","No","No","No","Public"
"209","AL","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"210","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"211","AL","Yes","No","No","No","Yes","No","Yes","Private For-Profit"
"212","AL","Yes","No","Yes","No","No","No","No","Private For-Profit"
"213","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"214","AL","No","No","No","No","No","No","No","Private Non-Profit"
"215","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"216","AL","Yes","No","Yes","Yes","No","No","No","Public"
"217","AL","Yes","No","Yes","Yes","No","No","No","Public"
"218","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"219","AL","Yes","No","No","No","Yes","No","No","Private Non-Profit"
"220","AL","Yes","No","No","No","No","No","No","Public"
"221","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"222","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"223","AL","Yes","No","No","No","No","No","No","Public"
"224","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"225","AL","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"226","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"227","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"228","AL","No","No","No","No","No","No","No","Private Non-Profit"
"229","AL","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"230","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"231","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"232","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"233","AL","Yes","No","No","Yes","No","No","No","Public"
"234","AL","Yes","No","No","Yes","No","No","No","Public"
"235","AL","Yes","No","No","Yes","No","No","No","Public"
"236","AL","Yes","No","Yes","No","No","No","Yes","Public"
"237","AL","Yes","No","No","No","No","No","No","Public"
"238","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"239","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"240","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"241","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"242","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"243","AL","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"244","AL","Yes","No","No","Yes","No","No","No","Public"
"245","AL","Yes","No","No","Yes","No","No","No","Public"
"246","AL","Yes","No","No","No","No","No","No","Public"
"247","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"248","AL","Yes","No","No","No","No","No","No","Public"
"249","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"250","AL","Yes","No","Yes","No","No","Yes","Yes","Private For-Profit"
"251","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"252","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"253","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"254","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"255","AL","Yes","No","Yes","Yes","No","No","Yes","Public"
"256","AL","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"257","AL","Yes","No","No","No","Yes","No","No","Private For-Profit"
"258","AL","Yes","No","No","No","No","No","No","Public"
"259","AL","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"260","AL","Yes","No","No","No","Yes","No","No","Public"
"261","AL","No","No","No","No","No","No","No","Private Non-Profit"
"262","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"263","AL","Yes","No","No","No","No","No","No","Public"
"264","AL","Yes","No","No","No","No","No","No","Public"
"265","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"266","AL","Yes","No","No","Yes","No","No","Yes","Public"
"267","AL","Yes","No","No","Yes","No","No","Yes","Public"
"268","AL","Yes","No","Yes","Yes","No","No","No","Public"
"269","AL","Yes","No","No","No","No","No","No","Private For-Profit"
"270","AL","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"271","AL","Yes","No","No","No","No","No","No","Private Non-Profit"
"272","AL","Yes","No","Yes","No","No","No","Yes","Private Non-Profit"
"273","AL","Yes","No","No","Yes","Yes","Yes","Yes","Private For-Profit"
"274","AR","Yes","No","Yes","No","No","No","No","Private For-Profit"
"275","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"276","AR","Yes","No","No","No","Yes","No","No","Private Non-Profit"
"277","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"278","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"279","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"280","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"281","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"282","AR","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"283","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"284","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"285","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"286","AR","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"287","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"288","AR","Yes","No","No","No","Yes","No","Yes","Private Non-Profit"
"289","AR","No","No","No","No","No","No","No","Public"
"290","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"291","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"292","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"293","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"294","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"295","AR","Yes","No","No","No","No","Yes","Yes","Private Non-Profit"
"296","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"297","AR","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"298","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"299","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"300","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"301","AR","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"302","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"303","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"304","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"305","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"306","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"307","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"308","AR","Yes","No","No","No","No","No","Yes","Private For-Profit"
"309","AR","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"310","AR","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"311","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"312","AR","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"313","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"314","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"315","AR","Yes","No","No","No","No","No","Yes","Private For-Profit"
"316","AR","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"317","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"318","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"319","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"320","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"321","AR","Yes","No","No","No","No","No","Yes","Private Non-Profit"
"322","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"323","AR","Yes","No","No","Yes","No","No","No","Private For-Profit"
"324","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"325","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"326","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"327","AR","Yes","No","Yes","No","Yes","No","Yes","Private Non-Profit"
"328","AR","No","No","No","No","No","No","No","Private Non-Profit"
"329","AR","Yes","No","Yes","Yes","Yes","No","Yes","Private For-Profit"
"330","AR","Yes","No","No","Yes","No","No","Yes","Public"
"331","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"332","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"333","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"334","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"335","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"336","AR","Yes","No","Yes","Yes","No","No","Yes","Private Non-Profit"
"337","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"338","AR","Yes","No","No","No","No","No","Yes","Private For-Profit"
"339","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"340","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"341","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"342","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"343","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"344","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"345","AR","Yes","No","No","Yes","No","No","Yes","Public"
"346","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"347","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"348","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"349","AR","Yes","No","No","No","Yes","No","Yes","Private Non-Profit"
"350","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"351","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"352","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"353","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"354","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"355","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"356","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"357","AR","Yes","No","No","Yes","Yes","No","No","Private Non-Profit"
"358","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"359","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"360","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"361","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"362","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"363","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Private Non-Profit"
"364","AR","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"365","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"366","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"367","AR","Yes","No","No","No","No","Yes","No","Private Non-Profit"
"368","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"369","AR","No","No","Yes","No","No","No","No","Private Non-Profit"
"370","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"371","AR","Yes","No","No","Yes","Yes","No","No","Private Non-Profit"
"372","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"373","AR","Yes","No","Yes","Yes","No","Yes","Yes","Private Non-Profit"
"374","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"375","AR","Yes","No","No","Yes","No","No","No","Private For-Profit"
"376","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"377","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"378","AR","Yes","No","No","Yes","No","No","No","Private For-Profit"
"379","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"380","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"381","AR","Yes","No","No","Yes","No","Yes","Yes","Private For-Profit"
"382","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"383","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"384","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"385","AR","Yes","No","No","Yes","No","No","Yes","Private For-Profit"
"386","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"387","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"388","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"389","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"390","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"391","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"392","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"393","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"394","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"395","AR","Yes","No","No","Yes","No","No","No","Private Non-Profit"
"396","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"397","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"398","AR","Yes","No","Yes","Yes","No","No","Yes","Private For-Profit"
"399","AR","Yes","No","No","No","Yes","No","No","Public"
"400","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"401","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"402","AR","Yes","No","No","No","No","No","No","Private For-Profit"
"403","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"404","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
"405","AR","Yes","No","Yes","Yes","No","No","No","Private Non-Profit"
"406","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"407","AR","Yes","No","Yes","No","No","No","No","Private Non-Profit"
"408","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"409","AR","Yes","No","No","No","Yes","No","No","Private For-Profit"
"410","AR","Yes","No","Yes","Yes","No","Yes","Yes","Private Non-Profit"
"411","AR","No","Yes","Yes","Yes","Yes","Yes","Yes","Private For-Profit"
"412","AR","Yes","No","Yes","Yes","Yes","Yes","Yes","Public"
"413","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"414","AR","Yes","No","No","Yes","No","No","Yes","Private Non-Profit"
"415","AR","Yes","No","No","No","No","No","No","Private Non-Profit"
